Player,2017/18
Stephen Curry ,"$35,678,476 "
LeBron James ,"$34,241,524 "
Paul Millsap ,"$31,652,784 "
Gordon Hayward ,"$30,581,550 "
Blake Griffin ,"$30,360,377 "
Kyle Lowry ,"$29,733,687 "
Mike Conley ,"$29,349,878 "
Russell Westbrook ,"$29,112,029 "
James Harden ,"$29,112,029 "
DeMar DeRozan ,"$28,536,541 "
Al Horford ,"$28,530,811 "
Carmelo Anthony ,"$26,997,362 "
Damian Lillard ,"$26,904,054 "
Jrue Holiday ,"$26,424,271 "
Chris Bosh ,"$26,015,586 "
Kevin Durant ,"$25,717,886 "
Otto Porter ,"$25,484,625 "
Chris Paul ,"$24,965,853 "
CJ McCollum ,"$24,650,669 "
Bradley Beal ,"$24,458,231 "
Anthony Davis ,"$24,458,231 "
Hassan Whiteside ,"$24,458,231 "
Andre Drummond ,"$24,458,231 "
Dwight Howard ,"$24,174,813 "
Chandler Parsons ,"$23,775,676 "
Harrison Barnes ,"$23,775,676 "
JJ Redick ,"$23,660,456 "
Marc Gasol ,"$23,292,535 "
Brook Lopez ,"$23,292,535 "
DeAndre Jordan ,"$23,292,535 "
Kevin Love ,"$23,292,535 "
Steven Adams ,"$23,117,202 "
Giannis Antetokounmpo ,"$23,117,202 "
Nicolas Batum ,"$23,079,008 "
LaMarcus Aldridge ,"$22,077,273 "
Greg Monroe ,"$5,143,577 "
Rudy Gobert ,"$21,834,196 "
Victor Oladipo ,"$21,603,025 "
Danilo Gallinari ,"$21,149,977 "
Serge Ibaka ,"$20,637,811 "
George Hill ,"$20,574,309 "
Ryan Anderson ,"$20,140,659 "
Paul George ,"$19,854,208 "
Jeff Teague ,"$19,545,594 "
Kyrie Irving ,"$19,410,447 "
Kawhi Leonard ,"$19,410,446 "
Jimmy Butler ,"$19,233,808 "
Allen Crabbe ,"$19,031,236 "
John Wall ,"$18,582,562 "
DeMarcus Cousins ,"$18,582,562 "
Enes Kanter ,"$18,397,728 "
Wesley Matthews ,"$18,397,727 "
Dwyane Wade ,"$15,996,525 "
Klay Thompson ,"$18,338,036 "
Joakim Noah ,"$18,275,130 "
Kentavious Caldwell-Pope ,"$18,255,475 "
