Player,2016/17
LeBron James ,"$32,372,888 "
DeMar DeRozan ,"$27,748,190 "
Russell Westbrook ,"$27,748,190 "
Mike Conley ,"$27,748,190 "
James Harden ,"$27,748,190 "
Kevin Durant ,"$27,748,190 "
Al Horford ,"$27,748,190 "
Dirk Nowitzki ,"$26,137,985 "
Carmelo Anthony ,"$25,677,308 "
Damian Lillard ,"$25,435,840 "
Chris Bosh ,"$24,821,739 "
Dwight Howard ,"$24,569,706 "
Dwyane Wade ,"$24,256,050 "
Chris Paul ,"$23,909,802 "
Bradley Beal ,"$23,123,491 "
Anthony Davis ,"$23,123,491 "
Hassan Whiteside ,"$23,123,491 "
Chandler Parsons ,"$23,123,491 "
Andre Drummond ,"$23,123,491 "
Harrison Barnes ,"$23,123,491 "
Derrick Rose ,"$22,293,874 "
Marc Gasol ,"$22,129,124 "
DeAndre Jordan ,"$22,129,124 "
Kevin Love ,"$22,129,124 "
Brook Lopez ,"$22,129,124 "
Nicolas Batum ,"$21,819,536 "
LaMarcus Aldridge ,"$21,511,567 "
Blake Griffin ,"$21,007,688 "
Paul Millsap ,"$20,985,700 "
Ryan Anderson ,"$19,588,186 "
Allen Crabbe ,"$19,342,109 "
Paul George ,"$18,923,901 "
Luol Deng ,"$18,819,349 "
Kawhi Leonard ,"$18,440,937 "
Kyrie Irving ,"$18,440,937 "
Jimmy Butler ,"$18,351,175 "
Tobias Harris ,"$17,982,934 "
Enes Kanter ,"$17,926,306 "
Greg Monroe ,"$17,926,306 "
Wesley Matthews ,"$17,926,306 "
Bismack Biyombo ,"$17,773,830 "
Evan Fournier ,"$17,773,830 "
Joakim Noah ,"$17,773,830 "
Klay Thompson ,"$17,422,091 "
Evan Turner ,"$17,139,663 "
Gordon Hayward ,"$16,804,780 "
Ian Mahinmi ,"$16,728,310 "
Timofey Mozgov ,"$16,728,310 "
Goran Dragic ,"$16,615,107 "
John Wall ,"$16,473,661 "
DeMarcus Cousins ,"$16,473,661 "
Kent Bazemore ,"$16,446,372 "
Pau Gasol ,"$16,205,551 "
Draymond Green ,"$16,028,267 "
Tristan Thompson ,"$16,028,267 "
Khris Middleton ,"$15,891,895 "
Danilo Gallinari ,"$15,735,067 "
Jeff Green ,"$15,682,791 "
Reggie Jackson ,"$15,637,334 "
Deron Williams ,"$5,723,996 "
Tony Parker ,"$15,102,855 "
Jonas Valanciunas ,"$15,036,684 "
DeMarre Carroll ,"$14,846,375 "
Manu Ginobili ,"$14,637,271 "
Eric Bledsoe ,"$14,637,271 "
Rajon Rondo ,"$14,637,271 "
Ricky Rubio ,"$14,009,960 "
Rudy Gay ,"$13,940,258 "
Jamal Crawford ,"$13,856,281 "
Robin Lopez ,"$13,820,982 "
Michael Kidd-Gilchrist ,"$13,591,752 "
JR Smith ,"$13,382,648 "
Brandon Knight ,"$13,180,079 "
Arron Afflalo ,"$13,068,992 "
Jordan Clarkson ,"$13,068,992 "
Tyson Chandler ,"$12,980,123 "
Miles Plumlee ,"$12,964,440 "
Eric Gordon ,"$12,949,453 "
John Henson ,"$12,826,020 "
Serge Ibaka ,"$12,807,612 "
Marvin Williams ,"$12,807,612 "
Stephen Curry ,"$12,663,706 "
Nikola Pekovic ,"$12,650,785 "
Thaddeus Young ,"$12,628,465 "
Kenneth Faried ,"$12,628,465 "
Marcin Gortat ,"$12,546,233 "
Kyle Lowry ,"$12,546,233 "
Kemba Walker ,"$12,546,233 "
Amir Johnson ,"$12,546,233 "
Nikola Vucevic ,"$12,284,853 "
Solomon Hill ,"$12,242,617 "
Jeremy Lin ,"$12,005,965 "
Andrew Bogut ,"$400,800 "
Courtney Lee ,"$11,753,729 "
Wilson Chandler ,"$11,744,472 "
Andre Iguodala ,"$11,638,061 "
Derrick Favors ,"$11,552,989 "
Joe Johnson ,"$11,500,713 "
Jrue Holiday ,"$11,500,713 "
Austin Rivers ,"$11,500,713 "
Jon Leuer ,"$11,492,304 "
Anderson Varejao ,"$1,622,289 "
Monta Ellis ,"$11,253,448 "
Mirza Teletovic ,"$10,977,953 "
Jared Dudley ,"$10,946,588 "
Al Jefferson ,"$10,695,850 "
Tyreke Evans ,"$10,668,224 "
Danny Green ,"$10,455,194 "
Terrence Ross ,"$10,455,194 "
Zach Randolph ,"$10,455,194 "
Alec Burks ,"$10,355,341 "
Omer Asik ,"$10,355,340 "
Iman Shumpert ,"$10,102,772 "
Matthew Dellavedova ,"$10,044,827 "
Jerryd Bayless ,"$9,853,062 "
Trevor Booker ,"$9,671,054 "
Meyers Leonard ,"$9,632,876 "
Gerald Henderson ,"$9,409,674 "
Moe Harkless ,"$9,397,927 "
Taj Gibson ,"$9,357,398 "
E'Twaun Moore ,"$9,201,995 "
Kris Humphries ,"$4,182,077 "
Ersan Ilyasova ,"$8,782,363 "
Dwight Powell ,"$8,756,225 "
Avery Bradley ,"$8,646,093 "
Tiago Splitter ,"$8,625,535 "
Darrell Arthur ,"$8,437,524 "
Kosta Koufos ,"$8,412,772 "
George Hill ,"$8,364,155 "
Anthony Tolliver ,"$8,364,155 "
Garrett Temple ,"$8,364,155 "
Kevin Garnett ,"$8,364,155 "
Jeff Teague ,"$8,364,155 "
Tyler Zeller ,"$8,364,155 "
Channing Frye ,"$8,162,339 "
Trevor Ariza ,"$8,155,051 "
Jose Calderon ,"$410,343 "
Al-Farouq Aminu ,"$8,030,598 "
Cole Aldrich ,"$7,991,928 "
Corey Brewer ,"$7,958,673 "
Markieff Morris ,"$7,736,843 "
Festus Ezeli ,"$7,736,843 "
JJ Redick ,"$7,713,319 "
Cory Joseph ,"$7,647,974 "
DJ Augustin ,"$7,580,015 "
Boris Diaw ,"$7,318,635 "
Rodney Stuckey ,"$7,318,635 "
Louis Williams ,"$7,318,635 "
Jeremy Lamb ,"$7,318,635 "
Sergio Rodriguez ,"$7,109,532 "
Carl Landry ,"$7,057,256 "
Ed Davis ,"$6,970,129 "
Isaiah Thomas ,"$6,886,973 "
Victor Oladipo ,"$6,851,246 "
Jodie Meeks ,"$6,837,697 "
Matt Barnes ,"$400,800 "
Aron Baynes ,"$6,795,876 "
Marco Belinelli ,"$6,621,622 "
Jae Crowder ,"$6,572,561 "
Lance Thomas ,"$6,472,810 "
Tarik Black ,"$6,472,810 "
Andrew Nicholson ,"$6,366,160 "
Patrick Patterson ,"$6,325,392 "
Andrew Wiggins ,"$6,280,016 "
Wayne Ellington ,"$6,273,116 "
Patrick Beverley ,"$6,273,116 "
Ishmael Smith ,"$6,273,116 "
Ramon Sessions ,"$6,273,116 "
Alex Abrines ,"$6,267,642 "
Karl-Anthony Towns ,"$6,231,463 "
Ben Simmons ,"$6,171,868 "
Otto Porter ,"$6,162,271 "
Spencer Hawes ,"$6,045,663 "
Josh McRoberts ,"$6,045,663 "
Shaun Livingston ,"$6,045,663 "
Nikola Mirotic ,"$6,045,663 "
Brandan Wright ,"$5,969,790 "
Tim Duncan ,"$5,900,650 "
Jared Sullinger ,"$5,884,183 "
Tyler Johnson ,"$5,884,183 "
Wesley Johnson ,"$5,884,183 "
Boban Marjanovic ,"$5,884,183 "
Brandon Jennings ,"$4,587,026 "
Nick Young ,"$5,691,721 "
Jabari Parker ,"$5,618,955 "
Lance Stephenson ,"$4,182,077 "
D'Angelo Russell ,"$5,575,545 "
Josh Smith ,"$5,574,426 "
Cody Zeller ,"$5,560,399 "
PJ Tucker ,"$5,541,252 "
Brandon Ingram ,"$5,522,099 "
Kyle Korver ,"$5,477,933 "
Darren Collison ,"$5,467,495 "
Larry Sanders ,"$217,177 "
Langston Galloway ,"$5,436,700 "
Derrick Williams ,"$441,360 "
Jason Smith ,"$5,227,597 "
CJ Watson ,"$5,227,597 "
Tony Allen ,"$5,227,597 "
Roy Hibbert ,"$5,227,597 "
Luis Scola ,"$5,227,597 "
Jonas Jerebko ,"$5,227,597 "
Alexis Ajinca ,"$5,084,576 "
Kyle Singler ,"$5,057,700 "
Mike Dunleavy ,"$5,057,700 "
Joel Embiid ,"$5,045,844 "
Alex Len ,"$5,043,189 "
Jahlil Okafor ,"$5,006,825 "
Jaylen Brown ,"$4,958,898 "
Marcus Morris ,"$4,835,527 "
CJ Miles ,"$4,792,085 "
Jameer Nelson ,"$4,747,207 "
Nerlens Noel ,"$4,584,069 "
Aaron Gordon ,"$4,549,389 "
Greivis Vasquez ,"$4,545,736 "
Kristaps Porzingis ,"$4,514,260 "
Dragan Bender ,"$4,470,975 "
Vince Carter ,"$4,458,154 "
Devin Harris ,"$4,420,451 "
Jose Juan Barea ,"$4,283,440 "
Ben McLemore ,"$4,191,363 "
Leandro Barbosa ,"$4,182,077 "
Jordan Hill ,"$4,182,077 "
Udonis Haslem ,"$4,182,077 "
James Johnson ,"$4,182,077 "
Thabo Sefolosha ,"$4,182,077 "
Dante Exum ,"$4,119,681 "
Kyle O'Quinn ,"$4,097,129 "
Mario Hezonja ,"$4,087,813 "
Kris Dunn ,"$4,048,794 "
Nemanja Bjelica ,"$3,972,973 "
Nick Collison ,"$3,920,697 "
Kentavious Caldwell-Pope ,"$3,845,753 "
Quincy Pondexter ,"$3,782,666 "
Marcus Smart ,"$3,741,788 "
Bojan Bogdanovic ,"$3,735,661 "
Willie Cauley-Stein ,"$3,712,806 "
Will Barton ,"$3,694,168 "
Paul Pierce ,"$3,688,508 "
Buddy Hield ,"$3,677,300 "
Brandon Rush ,"$3,659,317 "
Lavoy Allen ,"$3,659,317 "
Mike Miller ,"$3,659,317 "
Anthony Morrow ,"$3,646,771 "
Trey Burke ,"$3,540,752 "
Kevin Martin ,"$3,487,852 "
Mike Scott ,"$3,485,064 "
KJ McDaniels ,"$3,485,064 "
Troy Daniels ,"$3,484,653 "
Julius Randle ,"$3,415,837 "
Ronnie Price ,"$2,673,962 "
Emmanuel Mudiay ,"$3,389,364 "
CJ McCollum ,"$3,366,132 "
Jamal Murray ,"$3,356,995 "
Patrick Mills ,"$3,345,662 "
Michael Carter-Williams ,"$3,328,438 "
Omri Casspi ,"$194,163 "
Steven Adams ,"$3,283,471 "
Kelly Olynyk ,"$3,234,850 "
Shabazz Muhammad ,"$3,184,964 "
Dante Cunningham ,"$3,136,558 "
Justin Hamilton ,"$3,136,558 "
Giannis Antetokounmpo ,"$3,131,769 "
Nik Stauskas ,"$3,129,281 "
